application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission,gender_encoded,international_encoded,major_Business,major_Humanities,major_STEM,race_Asian,race_Black,race_White,race_Hispanic,race_Other,work_industry_Financial Services,work_industry_Investment Management,work_industry_Technology,work_industry_Consulting,work_industry_Nonprofit/Gov,work_industry_PE/VC,work_industry_Health Care,work_industry_Investment Banking,work_industry_Other,work_industry_Retail,work_industry_Energy,work_industry_CPG,work_industry_Real Estate,work_industry_Media/Entertainment,admission_Admit,admission_Reject,admission_Waitlist,gpa_normalized,gmat_normalized,work_exp_normalized
12,Male,True,2.85,Humanities,White,580.0,4.0,PE/VC,Reject,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-2.7102714396751106,-1.470383797991452,-1.013306749484386
14,Female,False,3.39,Business,Black,690.0,4.0,Nonprofit/Gov,Reject,1,,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.9519314668105898,0.8135090928015333,-1.013306749484386
15,Female,False,3.03,STEM,White,600.0,5.0,Technology,Admit,1,,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.4895371375132125,-1.0551305451200002,-0.02174918999231319
16,Female,True,3.05,Humanities,White,710.0,4.0,Consulting,Admit,1,,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.3538999928285569,1.228762345672985,-1.013306749484386
17,Female,False,3.32,Business,Asian,710.0,5.0,PE/VC,Admit,1,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.47720146041429345,1.228762345672985,-0.02174918999231319
18,Male,False,3.23,Humanities,Black,700.0,4.0,Health Care,Reject,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.13316569066665568,1.0211357192372592,-1.013306749484386
19,Male,False,3.13,Humanities,White,630.0,6.0,Financial Services,Reject,0,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.8113514140899342,-0.4322506658128224,0.9698083694997597
20,Male,True,3.09,Business,White,670.0,8.0,Consulting,Reject,0,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0826257034592455,0.39825583993008135,2.952923488483905
21,Male,False,3.46,Humanities,White,760.0,5.0,Investment Banking,Admit,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.4266614732068832,2.2668954778516146,-0.02174918999231319
22,Female,False,3.64,Humanities,Black,710.0,6.0,Financial Services,Reject,1,,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.6473957753687847,1.228762345672985,0.9698083694997597
23,Female,True,3.42,Business,White,640.0,6.0,Consulting,Admit,1,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.155387183837572,-0.22462403937709646,0.9698083694997597
24,Male,False,3.4,Business,White,680.0,6.0,PE/VC,Reject,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.0197500391529162,0.6058824663658073,0.9698083694997597
25,Male,False,3.47,STEM,White,710.0,5.0,Consulting,Admit,0,,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.4944800455492127,1.228762345672985,-0.02174918999231319
26,Male,False,3.26,Humanities,Asian,690.0,5.0,Technology,Admit,0,,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.07029002636032636,0.8135090928015333,-0.02174918999231319
27,Male,True,2.99,STEM,White,640.0,5.0,Consulting,Reject,0,,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.760811426882521,-0.22462403937709646,-0.02174918999231319
28,Male,False,3.39,STEM,Other,730.0,4.0,Other,Reject,0,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.9519314668105898,1.644015598544437,-1.013306749484386
29,Male,False,3.08,Business,Asian,570.0,7.0,Retail,Reject,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1.1504442758015718,-1.678010424427178,1.9613659289918324
30,Male,True,3.65,STEM,White,700.0,5.0,Consulting,Admit,0,,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.715214347711111,1.0211357192372592,-0.02174918999231319
31,Male,True,3.04,STEM,White,610.0,4.0,Consulting,Reject,0,,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.4217185651708832,-0.8475039186842742,-1.013306749484386
32,Male,False,3.19,Humanities,White,580.0,5.0,PE/VC,Reject,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.40443998003596704,-1.470383797991452,-0.02174918999231319
33,Male,False,3.33,Humanities,Black,700.0,6.0,Investment Banking,Reject,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5450200327566228,1.0211357192372592,0.9698083694997597
34,Female,False,3.53,STEM,White,710.0,5.021934369602763,Consulting,Admit,1,,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.9013914796031768,1.228762345672985,0.0
35,Male,False,3.5,Business,White,650.0,7.0,Consulting,Reject,0,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.6979357625761946,-0.016997412941370516,1.9613659289918324
36,Male,True,3.22,Humanities,White,670.0,4.0,Other,Reject,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.200984263008982,0.39825583993008135,-1.013306749484386
37,Male,False,3.5,STEM,Hispanic,720.0,5.0,Health Care,Reject,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.6979357625761946,1.436388972108711,-0.02174918999231319
38,Female,False,3.16,STEM,Black,590.0,4.0,Investment Management,Reject,1,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.6078956970629491,-1.2627571715557262,-1.013306749484386
39,Male,False,3.3,Humanities,Asian,740.0,6.0,Investment Banking,Admit,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.34156431572963775,1.851642224980163,0.9698083694997597
40,Female,False,3.45,Humanities,Asian,640.0,3.0,PE/VC,Admit,1,,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.3588429008645568,-0.22462403937709646,-2.0048643089764586
41,Female,True,3.249635578583765,Business,White,610.0,4.0,PE/VC,Admit,1,,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-3.0117496204663656e-15,-0.8475039186842742,-1.013306749484386
42,Female,True,3.41,Business,White,600.0,7.0,Nonprofit/Gov,Admit,1,,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0875686114952456,-1.0551305451200002,1.9613659289918324
43,Male,False,3.38,Humanities,Asian,720.0,5.021934369602763,Consulting,Reject,0,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8841128944682605,1.436388972108711,0.0
44,Female,False,2.93,Humanities,Other,590.0,4.0,Consulting,Admit,1,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.1677228609364882,-1.2627571715557262,-1.013306749484386
45,Male,False,3.27,STEM,Other,650.0,5.0,Consulting,Reject,0,,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1381085987026557,-0.016997412941370516,-0.02174918999231319
46,Male,False,3.32,STEM,Asian,730.0,4.0,Health Care,Reject,0,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.47720146041429345,1.644015598544437,-1.013306749484386
47,Male,True,3.13,Humanities,White,610.0,5.0,PE/VC,Reject,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.8113514140899342,-0.8475039186842742,-0.02174918999231319
48,Male,False,3.33,STEM,Hispanic,720.0,7.0,Consulting,Admit,0,,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5450200327566228,1.436388972108711,1.9613659289918324
49,Male,False,3.23,STEM,Black,660.0,6.0,Other,Reject,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.13316569066665568,0.1906292134943554,0.9698083694997597
50,Male,False,3.38,Humanities,Hispanic,680.0,5.0,Consulting,Reject,0,,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8841128944682605,0.6058824663658073,-0.02174918999231319
52,Male,False,3.43,Business,Asian,650.0,4.0,Nonprofit/Gov,Reject,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.2232057561799012,-0.016997412941370516,-1.013306749484386
53,Male,False,3.19,Business,White,650.0,5.0,Financial Services,Reject,0,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.40443998003596704,-0.016997412941370516,-0.02174918999231319
54,Female,False,3.23,STEM,Asian,700.0,6.0,PE/VC,Admit,1,,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.13316569066665568,1.0211357192372592,0.9698083694997597
55,Male,False,2.96,Humanities,Black,610.0,6.0,Consulting,Reject,0,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.964267143909506,-0.8475039186842742,0.9698083694997597
56,Female,False,3.44,STEM,Black,680.0,4.0,Consulting,Reject,1,,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.2910243285222276,0.6058824663658073,-1.013306749484386
57,Male,False,3.09,Business,Other,610.0,6.0,Consulting,Reject,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0826257034592455,-0.8475039186842742,0.9698083694997597
58,Female,True,3.05,Business,White,650.0,7.0,Health Care,Admit,1,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-1.3538999928285569,-0.016997412941370516,1.9613659289918324
59,Male,True,3.01,Humanities,White,650.8186528497409,6.0,Consulting,Reject,0,,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.6251742821978683,0.0,0.9698083694997597
60,Male,False,3.249635578583765,Humanities,White,740.0,4.0,Financial Services,Reject,0,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3.0117496204663656e-15,1.851642224980163,-1.013306749484386
61,Female,False,3.27,Business,White,670.0,5.021934369602763,Consulting,Admit,1,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1381085987026557,0.39825583993008135,0.0
62,Male,False,3.13,Humanities,Black,630.0,5.0,Financial Services,Reject,0,,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.8113514140899342,-0.4322506658128224,-0.02174918999231319
63,Female,True,3.0,STEM,White,640.0,5.021934369602763,Financial Services,Admit,1,,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.6929928545401947,-0.22462403937709646,0.0
64,Male,False,3.36,STEM,Black,650.0,5.0,Technology,Reject,0,,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7484757497836048,-0.016997412941370516,-0.02174918999231319
65,Female,False,3.39,Humanities,White,680.0,5.021934369602763,Investment Banking,Admit,1,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.9519314668105898,0.6058824663658073,0.0
66,Male,True,3.31,Business,White,670.0,4.0,Nonprofit/Gov,Reject,0,,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.4093828880719671,0.39825583993008135,-1.013306749484386
67,Male,False,3.07,STEM,Other,570.0,6.0,Other,Reject,0,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1.2182628481439013,-1.678010424427178,0.9698083694997597
68,Male,False,3.53,STEM,White,690.0,5.0,Technology,Reject,0,,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.9013914796031768,0.8135090928015333,-0.02174918999231319
69,Male,False,3.49,Business,Black,620.0,5.021934369602763,Energy,Reject,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.6301171902338683,-0.6398772922485483,0.0
70,Male,False,3.41,Humanities,White,690.0,6.0,Technology,Admit,0,,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0875686114952456,0.8135090928015333,0.9698083694997597
71,Male,True,3.34,STEM,White,690.0,5.0,Nonprofit/Gov,Reject,0,,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.6128386050989492,0.8135090928015333,-0.02174918999231319
73,Female,True,3.34,STEM,White,680.0,5.0,PE/VC,Admit,1,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6128386050989492,0.6058824663658073,-0.02174918999231319
74,Female,False,2.89,Humanities,White,670.0,5.0,Consulting,Admit,1,,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.4389971503057994,0.39825583993008135,-0.02174918999231319
75,Female,True,3.35,Business,White,640.0,5.0,PE/VC,Admit,1,,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6806571774412785,-0.22462403937709646,-0.02174918999231319
77,Male,False,3.18,Humanities,Black,640.0,4.0,PE/VC,Reject,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.4722585523782934,-0.22462403937709646,-1.013306749484386
78,Male,True,3.2,Humanities,White,640.0,5.0,Nonprofit/Gov,Reject,0,,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3366214076936377,-0.22462403937709646,-0.02174918999231319
79,Male,False,3.17,Business,Hispanic,640.0,4.0,Other,Reject,0,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.5400771247206227,-0.22462403937709646,-1.013306749484386
80,Female,False,3.1,Humanities,Asian,680.0,4.0,Health Care,Admit,1,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-1.0148071311169162,0.6058824663658073,-1.013306749484386
81,Male,False,2.93,Humanities,Hispanic,620.0,4.0,Technology,Reject,0,,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.1677228609364882,-0.6398772922485483,-1.013306749484386
82,Male,True,3.2,STEM,White,730.0,4.0,PE/VC,Reject,0,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.3366214076936377,1.644015598544437,-1.013306749484386
83,Male,False,3.52,STEM,Hispanic,610.0,6.0,Consulting,Reject,0,,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.8335729072608504,-0.8475039186842742,0.9698083694997597
84,Male,False,3.35,Humanities,White,710.0,6.0,Consulting,Admit,0,,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6806571774412785,1.228762345672985,0.9698083694997597
85,Male,False,3.15,STEM,Hispanic,620.0,4.0,PE/VC,Reject,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.6757142694052785,-0.6398772922485483,-1.013306749484386
86,Male,False,3.21,Business,Hispanic,640.0,6.0,Nonprofit/Gov,Reject,0,,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.2688028353513114,-0.22462403937709646,0.9698083694997597
87,Male,False,3.1,Business,Hispanic,670.0,7.0,Financial Services,Reject,0,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0148071311169162,0.39825583993008135,1.9613659289918324
88,Male,False,3.48,Business,White,710.0,5.0,Consulting,Admit,0,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.562298617891539,1.228762345672985,-0.02174918999231319
89,Male,False,3.15,Humanities,Asian,650.0,6.0,Consulting,Reject,0,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.6757142694052785,-0.016997412941370516,0.9698083694997597
90,Male,False,3.09,Business,Other,610.0,6.0,Consulting,Reject,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0826257034592455,-0.8475039186842742,0.9698083694997597
91,Female,False,3.14,Humanities,Hispanic,660.0,6.0,Consulting,Reject,1,,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.7435328417476048,0.1906292134943554,0.9698083694997597
92,Male,False,2.97,STEM,Asian,580.0,4.0,Consulting,Reject,0,,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.8964485715671766,-1.470383797991452,-1.013306749484386
93,Male,False,3.17,STEM,White,670.0,5.0,PE/VC,Reject,0,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.5400771247206227,0.39825583993008135,-0.02174918999231319
95,Female,False,3.05,Humanities,White,600.0,5.0,Consulting,Admit,1,,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.3538999928285569,-1.0551305451200002,-0.02174918999231319
96,Male,False,3.32,Business,Black,670.0,4.0,Consulting,Admit,0,,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.47720146041429345,0.39825583993008135,-1.013306749484386
97,Male,False,3.08,Humanities,Asian,640.0,5.0,Technology,Reject,0,,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.1504442758015718,-0.22462403937709646,-0.02174918999231319
98,Male,True,3.36,STEM,White,690.0,5.0,CPG,Reject,0,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.7484757497836048,0.8135090928015333,-0.02174918999231319
99,Male,False,3.1,Humanities,White,610.0,5.0,Health Care,Reject,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.0148071311169162,-0.8475039186842742,-0.02174918999231319
100,Female,False,3.38,Humanities,White,660.0,5.0,Consulting,Admit,1,,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8841128944682605,0.1906292134943554,-0.02174918999231319
101,Male,False,3.26,Humanities,Hispanic,650.0,6.0,Real Estate,Reject,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.07029002636032636,-0.016997412941370516,0.9698083694997597
102,Male,False,3.2,Humanities,Hispanic,600.0,4.0,Investment Banking,Reject,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.3366214076936377,-1.0551305451200002,-1.013306749484386
103,Male,False,3.65,Humanities,Black,700.0,6.0,Health Care,Reject,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.715214347711111,1.0211357192372592,0.9698083694997597
104,Female,True,3.34,Business,White,650.0,5.0,Financial Services,Admit,1,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6128386050989492,-0.016997412941370516,-0.02174918999231319
105,Female,False,3.3,Humanities,Hispanic,670.0,4.0,Nonprofit/Gov,Admit,1,,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.34156431572963775,0.39825583993008135,-1.013306749484386
106,Male,False,3.11,Business,Asian,610.0,6.0,PE/VC,Reject,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.9469885587745899,-0.8475039186842742,0.9698083694997597
107,Male,True,3.08,Humanities,White,740.0,4.0,Health Care,Reject,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.1504442758015718,1.851642224980163,-1.013306749484386
108,Male,False,3.2,STEM,White,590.0,5.0,Consulting,Reject,0,,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3366214076936377,-1.2627571715557262,-0.02174918999231319
109,Male,True,3.249635578583765,STEM,White,650.8186528497409,5.0,Other,Reject,0,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-3.0117496204663656e-15,0.0,-0.02174918999231319
110,Male,False,3.21,Humanities,Black,610.0,4.0,PE/VC,Reject,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.2688028353513114,-0.8475039186842742,-1.013306749484386
111,Female,False,3.26,Humanities,Black,670.0,6.0,Consulting,Reject,1,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.07029002636032636,0.39825583993008135,0.9698083694997597
112,Female,False,3.29,STEM,Hispanic,640.0,6.0,Investment Banking,Reject,1,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.2737457433873114,-0.22462403937709646,0.9698083694997597
113,Female,False,3.25,Humanities,Hispanic,640.0,5.0,Other,Reject,1,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0024714540180000174,-0.22462403937709646,-0.02174918999231319
114,Female,False,3.2,Humanities,Asian,680.0,7.0,Consulting,Admit,1,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.3366214076936377,0.6058824663658073,1.9613659289918324
115,Female,False,3.23,STEM,Asian,610.0,5.0,Nonprofit/Gov,Admit,1,,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.13316569066665568,-0.8475039186842742,-0.02174918999231319
116,Male,False,3.32,Humanities,Hispanic,670.0,4.0,Media/Entertainment,Reject,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.47720146041429345,0.39825583993008135,-1.013306749484386
117,Female,False,3.46,STEM,White,660.0,5.0,Consulting,Admit,1,,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.4266614732068832,0.1906292134943554,-0.02174918999231319
118,Female,False,3.29,Humanities,Black,610.0,4.0,Consulting,Reject,1,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2737457433873114,-0.8475039186842742,-1.013306749484386
120,Female,False,2.99,Humanities,White,570.0,5.021934369602763,Real Estate,Admit,1,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1.760811426882521,-1.678010424427178,0.0
